tck_ns,simd_lanes,io_width_bit,pipe_regs_addmul,flow_dens,postroute_wns_ns,energy_pj,area_um2
2.0,4,64,2,90,0.065,16.334286,2798.559551
2.0,8,128,2,30,0.007,31.689524,5530.289888
2.0,64,1024,2,30,0.157,200.751429,46826.161798
2.5,4,64,2,70,0.381,15.088095,2696.941573
2.5,8,128,2,90,0.057,30.694048,5328.905618
2.5,16,256,3,20,0.008,65.569048,11354.851685
2.5,24,384,2,30,0.003,95.482143,15704.521348
2.5,32,512,2,10,0.005,130.422619,21113.406742
2.5,64,1024,2,80,0.260,181.916667,42513.674157
3.0,4,64,2,50,0.661,13.552857,2634.415730
3.0,8,128,2,70,0.275,27.548571,5191.065169
3.0,16,256,2,80,0.280,58.624286,10380.395506
3.0,24,384,2,70,0.129,85.614286,15493.871910
3.0,32,512,2,20,0.064,112.361429,20645.006742
3.0,64,1024,3,60,0.175,161.705714,52452.092135
