total_size_KB,cacheline_bits,num_entries,data_array_area_mm2,read_energy_pJ,write_energy_pJ,read_energy_pJ_per_bit,write_energy_pJ_per_bit,access_time_ns,leakage_mW
0.125,32,32.0,0.000375205,0.431093,0.30670200000000003,0.01347165625,0.009584437500000001,0.0455493,0.0353353
0.125,64,16.0,0.000451739,0.5825640000000001,0.474659,0.009102562500000001,0.007416546875,0.0432409,0.0400702
0.125,128,8.0,0.000630203,0.88544,0.810507,0.0069175,0.0063320859375,0.0427634,0.0497412
0.125,256,4.0,0.0019061,2.87165,2.6690300000000002,0.0112173828125,0.010425898437500001,0.0514052,0.11795
0.125,512,2.0,,,,,,,
0.125,1024,1.0,,,,,,,
0.25,32,64.0,0.000463974,0.44519299999999995,0.324099,0.013912281249999998,0.01012809375,0.0500413,0.0517665
0.25,64,32.0,0.000541465,0.596664,0.5085419999999999,0.009322875,0.007945968749999999,0.0491215,0.0565014
0.25,128,16.0,0.000722059,0.89954,0.877362,0.00702765625,0.006854390625,0.048644,0.0661724
0.25,256,8.0,0.00199586,2.88515,2.73528,0.0112701171875,0.0106846875,0.0514052,0.134831
0.25,512,4.0,0.00678377,10.286399999999999,9.88114,0.020090624999999997,0.0192991015625,0.0765275,0.394225
0.25,1024,2.0,,,,,,,
0.5,32,128.0,0.000940599,0.853722,0.578562,0.0266788125,0.0180800625,0.0604822,0.102173
0.5,64,64.0,0.00109213,1.14723,0.9050450000000001,0.01792546875,0.014141328125000002,0.0586258,0.106139
0.5,128,32.0,0.0014363,1.73513,1.5588799999999998,0.013555703125,0.012178749999999999,0.0577536,0.125795
0.5,256,16.0,0.00217189,2.91243,2.86808,0.0113766796875,0.0112034375,0.0573114,0.167187
0.5,512,8.0,0.0069596,10.3131,10.0133,0.0201427734375,0.0195572265625,0.0765275,0.42685
0.5,1024,4.0,0.0677982,55.827,55.5536,0.0545185546875,0.0542515625,0.152399,1.45945
0.75,32,192.0,0.00109414,0.880099,0.595048,0.02750309375,0.01859525,0.0614001,0.132929
0.75,64,96.0,0.00124566,1.17361,0.938017,0.01833765625,0.014656515625,0.0596878,0.136895
0.75,128,48.0,0.00158984,1.76151,1.62483,0.013761796875,0.012693984375,0.0588156,0.156551
0.75,256,24.0,0.00232543,2.93881,2.99997,0.0114797265625,0.0117186328125,0.0583734,0.197942
0.75,512,12.0,0.00711167,10.3394,10.1452,0.020194140625,0.01981484375,0.0765275,0.457606
0.75,1024,6.0,0.0679501,55.8401,55.6855,0.05453134765625,0.05438037109375,0.152664,1.4902
1,32,256,0.00105833,0.551762,0.450451,0.0172425625,0.01407659375,0.0815647,0.196367
1,64,128,0.00114639,0.7032320000000001,0.73381,0.010988000000000001,0.01146578125,0.080645,0.201102
1,128,64,0.00135051,1.0061099999999998,1.30046,0.007860234374999999,0.01015984375,0.0801675,0.210773
1,256,32,0.00275612,3.00948,3.17615,0.01175578125,0.0124068359375,0.0801059,0.266047
